time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,drag_x,drag_y,drag_z,density,pressure,temperature,latitude,longitude,altitude
1638.0,-449453.122874912,4635224.258482948,5574618.403696177,-7387.849847378207,-367.8307098844556,-454.3362229392981,0.9999993827269097,-2.079710430530118e-11,0.0009126898174095872,-0.0006336742828471163,2.917531003911178e-06,1.303052565662008e-07,1.840225284217562e-07,8.159282560079738e-15,1.306562037779781e-08,1105.435239185205,50.12505605547326,88.69466824513013,892861.3961803345
1660.0,-608171.457064456,4626205.304464069,5563511.173576402,-7376.047325993719,-471.1835592898322,-578.9439731740788,0.9999993493166116,-2.558308819739526e-11,0.0009370667428548761,-0.0006505937847792745,3.065389296954321e-06,1.765582386692112e-07,2.501423087398996e-07,8.222843571099566e-15,1.31082129219875e-08,1102.75968078629,50.014085914508286,90.55368306682637,890150.3646976529
1679.0,-744512.0165406484,4616665.836342872,5551809.007486574,-7363.043125691413,-560.0292272739088,-686.0566339672566,0.9999993198634309,-2.970126036573972e-11,0.0009580422361830516,-0.0006651524255187388,3.192092931689183e-06,2.196773565198336e-07,3.117817183659664e-07,8.278209486426564e-15,1.314504770696231e-08,1100.429980785024,49.89241944113793,92.14601166497799,887821.1744633792
1702.0,-917313.0281672273,4602180.009127049,5534089.141067227,-7342.726816899636,-672.7203067116733,-821.9112665055632,0.999999281509901,-3.493245201077007e-11,0.0009846867808597194,-0.000683645833399129,3.34396576567337e-06,2.758111187667105e-07,3.920236056682779e-07,8.34587872096629e-15,1.318978931217896e-08,1097.589654344253,49.70324743263294,94.16146057426381,884871.1847256618
1725.0,-1082268.210485829,4585832.692811056,5514136.148172736,-7319.295623985491,-780.3850418478032,-951.6997293447541,0.99999924380269,-3.994103972164234e-11,0.001010197514154335,-0.0007013522870790511,3.493882327249405e-06,3.36251687571498e-07,4.78417919881915e-07,8.41432005834495e-15,1.323478976674527e-08,1094.73085881379,49.48621941482139,96.07179668844073,882058.9013510812
1747.0,-1243006.114624795,4567508.701454809,5491805.848871397,-7292.621386236256,-885.3825398292531,-1078.266335230725,0.9999992060010062,-4.483832544617599e-11,0.001035141341322882,-0.0007186652633567036,3.635146760216534e-06,3.98082313098332e-07,5.66793822662264e-07,8.48056357830216e-15,1.327815768130884e-08,1091.982452386804,49.24053067762153,97.92474980730248,879319.4012786848
1770.0,-1414007.813768182,4545387.232897205,5464881.553322947,-7260.023464327682,-997.1775680857248,-1213.019463730341,0.9999991646035689,-5.006951696978062e-11,0.001061785882925463,-0.0007371586691028397,3.78028100197217e-06,4.669032527869071e-07,6.651539319305659e-07,8.550681455489266e-15,1.332391091761906e-08,1089.097921563135,48.94212985659891,99.8850122290475,876405.9901617086
1793.0,-1580582.107744625,4521197.864237675,5435470.315790287,-7224.02305791868,-1106.170785948597,-1344.387761228907,0.9999991230683238,-5.518940649512176e-11,0.001087863518306214,-0.0007552585973802333,3.922476284116306e-06,5.399671225625212e-07,7.695691782335721e-07,8.621724036091668e-15,1.33701532669914e-08,1086.205163200918,48.61480162630809,101.77801569161721,873570.8969370387
1817.0,-1753465.403248711,4493291.204009107,5401567.633525816,-7182.149455575461,-1219.389410531524,-1480.840552945718,0.9999990786528786,-6.053189985350493e-11,0.001115074962751792,-0.0007741454782493193,4.067352929648294e-06,6.206885877472133e-07,8.849166661278588e-07,8.696877010515537e-15,1.341898700170817e-08,1083.18117156885,48.23686474597535,103.72619549132638,870632.3894526334
1840.0,-1921722.147031126,4463337.94253988,5365204.064705661,-7136.8941303777,-1329.674027337972,-1613.748687835688,0.9999990340996259,-6.576309120259753e-11,0.001141719500919484,-0.0007926388816107549,4.202481029904447e-06,7.022896044832855e-07,1.001508730281834e-06,8.769901000294058e-15,1.346638677820019e-08,1080.280907615281,47.83169147407109,105.60698466294372,867771.736671919
